Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,241.970001,243.380005,241.639999,243.360001,233.122589,68962000
2017-06-02,243.419998,244.350006,243.080002,244.169998,233.898560,88666100
2017-06-05,243.970001,244.300003,243.759995,243.990005,233.726135,44698800
2017-06-06,243.339996,243.979996,243.119995,243.210007,232.978943,50375400
2017-06-07,243.600006,243.919998,242.830002,243.660004,233.410004,54144300
2017-06-08,243.770004,244.330002,243.169998,243.779999,233.524963,63989800
2017-06-09,244.089996,245.009995,241.949997,243.410004,233.170502,132256400
2017-06-12,243.130005,243.419998,242.380005,243.360001,233.122589,86108100
2017-06-13,243.979996,244.610001,243.580002,244.550003,234.262573,60067000
2017-06-14,244.860001,244.869995,243.289993,244.240005,233.965591,78602300
2017-06-15,242.679993,243.910004,242.360001,243.770004,233.515381,66464900
2017-06-16,242.770004,242.830002,241.630005,242.639999,233.566391,84553100
2017-06-19,243.589996,244.729996,243.479996,244.660004,235.510864,65123800
2017-06-20,244.250000,244.259995,242.990005,243.009995,233.922546,56906400
2017-06-21,243.460007,243.589996,242.410004,242.949997,233.864777,55977600
2017-06-22,242.960007,243.529999,242.639999,242.839996,233.758881,44148100
2017-06-23,242.910004,243.509995,242.470001,243.130005,234.038086,66986800
2017-06-26,243.899994,244.380005,243.050003,243.289993,234.192062,56700500
2017-06-27,243.039993,243.380005,241.309998,241.330002,232.305359,82247700
2017-06-28,242.500000,243.720001,242.229996,243.490005,234.384598,70042600
2017-06-29,243.660004,243.720001,239.960007,241.350006,232.324631,106949700
2017-06-30,242.279999,242.710007,241.580002,241.800003,232.757828,86820700
2017-07-03,242.880005,243.380005,242.210007,242.210007,233.152466,39153800
2017-07-05,242.630005,243.009995,241.699997,242.770004,233.691544,54427600
2017-07-06,241.889999,242.029999,240.339996,240.550003,231.554550,65400800
2017-07-07,241.210007,242.279999,240.559998,242.110001,233.056213,57972300
2017-07-10,242.110001,242.800003,241.759995,242.369995,233.306473,36663300
2017-07-11,242.369995,242.550003,240.850006,242.190002,233.133224,50354600
2017-07-12,243.300003,244.199997,243.300003,244.009995,234.885178,59610400
2017-07-13,244.020004,244.550003,243.759995,244.419998,235.279816,39471600
2017-07-14,244.419998,245.970001,244.309998,245.559998,236.377182,60262700
2017-07-17,245.470001,245.910004,245.330002,245.529999,236.348328,33531900
2017-07-18,245.059998,245.720001,244.669998,245.660004,236.473465,42742500
2017-07-19,246.020004,247.000000,246.009995,246.990005,237.753723,51034300
2017-07-20,247.279999,247.419998,246.470001,247.100006,237.859619,47135200
2017-07-21,246.440002,246.910004,246.179993,246.880005,237.647842,82340800
2017-07-24,246.789993,246.979996,246.279999,246.820007,237.590103,46622300
2017-07-25,247.679993,247.800003,247.160004,247.419998,238.167633,54915600
2017-07-26,247.750000,247.789993,247.130005,247.429993,238.177261,47575400
2017-07-27,247.960007,248.000000,245.679993,247.199997,237.955872,70766600
2017-07-28,246.649994,247.059998,246.130005,246.910004,237.676727,50088400
2017-07-31,247.369995,247.479996,246.529999,246.770004,237.541946,65838700
2017-08-01,247.460007,247.500000,246.720001,247.320007,238.071411,55050400
2017-08-02,247.470001,247.600006,246.369995,247.440002,238.186890,47211200
2017-08-03,247.309998,247.339996,246.639999,246.960007,237.724869,40856000
2017-08-04,247.520004,247.789993,246.970001,247.410004,238.158020,60191800
2017-08-07,247.490005,247.869995,247.369995,247.869995,238.600784,31995000
2017-08-08,247.509995,248.910004,246.830002,247.259995,238.013611,61719400
2017-08-09,246.470001,247.309998,246.059998,247.250000,238.003998,62632600
2017-08-10,246.289993,246.440002,243.699997,243.759995,234.644501,120479500
2017-08-11,244.020004,244.800003,243.750000,244.119995,234.991074,74869900
2017-08-14,245.589996,246.789993,245.550003,246.539993,237.320526,72139000
2017-08-15,246.979996,247.000000,246.160004,246.509995,237.291687,55242700
2017-08-16,247.110001,247.570007,246.449997,246.940002,237.705582,56715500
2017-08-17,246.240005,246.600006,243.089996,243.089996,233.999557,128490400
2017-08-18,242.899994,244.190002,242.199997,242.710007,233.633774,136748000
2017-08-21,242.639999,243.199997,241.830002,242.899994,233.816666,65469700
2017-08-22,243.570007,245.619995,243.550003,245.440002,236.261703,63140100
2017-08-23,244.330002,245.050003,244.160004,244.559998,235.414597,50203800
2017-08-24,245.000000,245.179993,243.750000,243.990005,234.865921,49730500
2017-08-25,244.899994,245.610001,244.389999,244.559998,235.414597,64445900
2017-08-28,245.169998,245.199997,244.089996,244.570007,235.424225,40565600
2017-08-29,243.059998,245.149994,242.929993,244.850006,235.693756,51135700
2017-08-30,244.830002,246.320007,244.619995,246.009995,236.810349,62030800
2017-08-31,246.720001,247.770004,246.050003,247.490005,238.235031,103803900
2017-09-01,247.919998,248.330002,247.669998,247.839996,238.571930,62007000
2017-09-05,247.259995,247.520004,244.949997,246.059998,236.858490,91398800
